BILLET MOS ,Qualifying MOS 
5902,5902
6002,6002
6302,6302
6502,6502
6602,6602
7202,7202
7315,7315
7503,7509
7503,7516
7503,7518
7503,7521
7503,7523
7503,7531
7503,7532
7503,7543
7503,7553
7503,7554
7503,7555
7503,7556
7503,7557
7505,7511
7505,7513
7505,7560
7505,7562
7505,7597
7505,7563
7505,7564
7505,7565
7505,7566
7505,7567
7505,7568
7506,7509
7506,7516
7506,7518
7506,7521
7506,7523
7506,7524
7506,7525
7506,7531
7506,7532
7506,7543
7506,7553
7506,7554
7506,7555
7506,7556
7506,7557
7506,7578
7506,7580
7506,7588
7506,7511
7506,7513
7506,7560
7506,7562
7506,7597
7506,7563
7506,7564
7506,7564
7506,7565
7506,7566
7506,7567
7506,7568
7509,7509
7518,7518
7523,7523
7532,7532
7566,7566
7577,7577
7588,7588
7596,7596
8005,6002
8005,7565
8005,7202
8005,7532
8005,6602
8005,7563
8005,7557
8005,7525
8005,7566
8005,7315
8005,7588
8005,7523
8005,7509
8005,7518
8005,7562
8005,7564
8006,6002
8006,7565
8006,7202
8006,7532
8006,6602
8006,7563
8006,7557
8006,7525
8006,7566
8006,7315
8006,7588
8006,7523
8006,7509
8006,7518
8006,7562
8006,7564
8059,8059
