MCC,ZIPCODE
0,92055
0,92055
0,96373
0,96382
0,92055
0,22134
0,92145
0,85369
0,28533
0,30905
0,96863
0,96205
0,22134
0,22134
0,20390
0,22134
0,70114
0,64147
0,64197
0,70114
0,22134
0,70114
0,92140
0,92140
0,22134
0,92140
0,92140
0,92278
0,27409
0,1434
0,31409
0,934
0,67210
0,77034
0,63044
0,63044
0,76127
0,76127
0,11234
0,55111
0,18644
0,93246
0,92055
0,12550
0,46613
0,63044
0,60088
0,2841
0,96349
0,13211
0,7701
0,6512
0,2905
0,17070
0,22134
0,28543
0,29904
0,29905
0,31704
0,28533
0,92055
0,92277
0,85369
0,92311
0,92124
0,22134
0,22134
0,22134
0,11530
0,22134
0,28542
0,92055
0,20755
0,28542
0,20388
0,20380
0,89115
0,60088
0,96863
0,87117
0,78219
0,94501
0,28542
0,28542
0,28542
0,28542
0,73150
0,95828
0,85730
0,87117
0,96372
0,96604
0,96604
0,96604
0,96604
0,96380
0,96389
0,96380
0,96380
0,92055
0,70143
0,8640
0,8640
0,23511
0,28533
0,28533
0,28533
0,28545
0,94501
0,94501
0,33611
0,33611
0,75051
0,75051
0,28542
0,22134
0,92311
0,31704
0,31704
0,78719
0,78419
0,76127
0,20350
0,35023
0,85309
0,97477
0,61604
0,49015
0,94519
0,21702
0,58075
0,22134
0,90740
0,40121
0,22134
0,23461
0,39534
0,20755
0,23185
0,92055
0,99506
0,94501
0,70114
0,70114
0,39309
0,47803
0,33015
0,92131
0,22134
0,28542
0,22134
0,60037
0,45433
0,29905
0,3053
0,11530
0,11234
0,8640
0,32803
0,35801
0,90822
0,90740
0,80011
0,53704
0,55111
0,92055
0,92055
0,92055
0,19007
0,19007
0,28213
0,76127
0,21234
0,55450
0,55450
0,12550
0,8640
0,7806
0,14201
0,92055
0,97217
0,97217
0,28542
0,28542
0,28542
0,28542
0,95112
0,59102
0,85369
0,92055
0,92145
0,92278
0,92145
0,98433
0,28542
0,28542
0,28542
0,28542
0,96373
0,96604
0,96604
0,96604
0,96863
0,96385
0,96604
0,96604
0,96604
0,96604
0,96604
0,96603
0,40510
0,15137
0,18109
0,92145
0,92145
0,96863
0,92055
0,28545
0,28545
0,96863
0,92055
0,92055
0,28545
0,92145
0,96863
0,28545
0,28542
0,28542
0,28542
0,77034
0,77034
0,78719
0,78419
0,77034
0,78550
0,70114
0,1434
0,23459
0,60088
0,78219
0,20373
0,11234
0,94519
0,1434
0,76544
0,33621
0,92055
0,92131
0,92055
0,94501
0,50109
0,44142
0,12550
0,28542
0,28542
0,96385
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,28542
0,28542
0,28542
0,28542
0,92055
0,92055
0,92055
0,92055
0,92278
0,70114
0,70114
0,45207
0,9834
0,28542
0,92055
0,93555
0,32508
0,92145
0,29904
0,36605
0,92131
0,40510
0,15137
0,59102
0,55111
0,45433
0,92055
0,70114
0,96385
0,28542
0,22134
0,20640
0,92055
0,28533
0,28533
0,28533
0,28533
0,28533
0,28545
0,29904
0,28533
0,28533
0,92145
0,92145
0,92145
0,92145
0,25313
0,24019
0,85369
0,85369
0,28533
0,28533
0,28533
0,28533
0,28533
0,92055
0,92055
0,79607
0,77550
0,76707
0,70820
0,20374
0,20380
0,64197
0,20374
0,22134
0,17070
0,68113
0,11530
0,11530
0,48045
0,48045
0,31409
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,31098
0,76127
0,22134
0,28542
0,28542
0,28542
0,28542
0,96863
0,96863
0,96863
0,96863
0,30069
0,30069
0,92145
0,44142
0,92055
0,92140
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,7701
0,96537
0,92140
0,92278
0,92278
0,92278
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,85369
0,32511
0,80011
0,77034
0,60625
0,60625
0,24502
0,37920
0,21234
0,32226
0,60088
0,92145
0,55450
0,8640
0,18644
0,48045
0,1022
0,28533
0,96372
0,92055
0,85369
0,92055
0,92145
0,29904
0,28545
0,96372
0,80011
0,21234
0,21234
0,33172
0,96606
0,96603
0,9107
0,96372
0,92145
0,28533
0,60088
0,96373
0,96373
0,96603
0,96373
0,28533
0,28542
0,28542
0,28542
0,28542
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,92055
0,28542
0,92055
0,92055
0,92055
0,28542
0,92055
0,92055
0,28542
0,92055
0,98433
0,94519
0,28542
0,70114
0,92140
0,28542
0,28542
0,28542
0,28542
0,28542
0,28542
0,96382
0,96382
0,96389
0,22134
0,22134
0,29905
0,29905
0,29905
0,54304
0,36605
0,33621
0,54304
0,11530
0,90660
0,93043
0,22134
0,29904
0,22203
0,96385
0,92055
0,28542
0,92055
0,49015
0,58075
0,48906
0,99506
0,43551
0,47803
0,11234
0,60625
0,95330
0,94519
0,24502
0,24019
0,76127
0,32508
0,30069
0,44142
0,44720
0,43217
0,19033
0,19033
0,38054
0,49015
0,20373
0,30069
0,92131
0,29044
0,29605
0,36107
0,20373
0,36605
0,94519
0,1434
0,76544
0,22134
0,28542
0,92055
0,15137
0,96603
0,96603
0,96603
0,96603
0,96603
0,64147
0,98433
0,7701
0,30069
0,30069
0,75501
0,28542
0,28542
0,76127
0,30080
0,97477
0,46613
0,2115
0,1432
0,6062
0,3053
0,31905
0,92055
0,98901
0,83705
0,92278
0,68113
0,29605
0,20373
0,29418
0,95112
0,66607
0,31704
0,92145
0,28533
0,96863
0,96863
0,28545
0,58075
0,92131
0,32803
0,23607
0,15137
0,37920
0,20373
0,92055
0,92055
0,92055
0,21702
0,19078
0,44473
0,45207
0,28542
0,92055
0,83705
0,17110
0,11234
0,97217
0,92278
0,92145
0,85369
0,96385
0,28542
0,92055
0,84113
0,90660
0,94066
0,93043
0,70114
0,92278
0,63044
0,63044
0,43551
0,48906
0,48601
0,49015
0,60625
0,28542
0,28542
0,96387
0,92055
