,UUID,Billets
0,10352,[QAB / 8006 / HQMC WASHINGTON DC].2
1,14701,"[NGG / 7588 / STRATCOM, JOIC (JT-BIL) SAN ANTONIO TX]"
2,18665,[JAB / 8006 / SNCO ACADEMY CAMP PENDLETON]
3,29968,[057 / 7505 / MCAS CAMP PENDLETON CA].1
4,30264,[TD4 / 7577 / JOINT ELECTROMAGNETIC PREP FOR ADV COMBT (NEVADA)]
5,31723,"[1FV / 8006 / MARCOR INSTALLATION COMMAND, WASHINGTON DC]"
6,34251,[TD4 / 7577 / JTF HQ FOR EW/CAS NELLIS AFB NV]
7,42820,[1GF / 8006 / WARFIGHTING LAB]
8,48036,[444 / 7523 / US FLEET FORCES CMD (USFFC) NORFOLK  VA]
9,51975,[T9B / 6002 / NAV AIR SYS CMD  PATUXENT RIVER MD]
10,55308,[T52 / 7523 / OFC OF THE CNO OP 00 WASHINGTON DC]
11,57960,[TFQ / 8005 / KUWAIT TECH ASSIST FIELD TEAM MACDILL AFB].1
12,62153,[142 / 7506 / 2DMAW CHERRY POINT NC]
13,62433,[1EP / 7506 / HQ 31ST MEU OKINAWA JAPAN]
14,62464,[068 / 8006 / EDUCATION COMMAND].3
15,63609,[080 / 8006 / PMD QUANTICO - MARSH CENTER].2
16,64071,[1JM / 7505 / HQ MAG 39 3DMAW CAMP PENDLETON CA]
17,67747,[NDS / 8006 / HQ USTRANSCOM (JT-BIL) SCOTT AFB IL]
18,68391,[080 / 8006 / PMD QUANTICO - MARSH CENTER].1
19,70065,[007 / 8006 / HQ MCCDC].2
20,76441,[1JE / 7505 / HQ MAG 16 3DMAW SAN DIEGO CA]
21,94215,[JBF / 8006 / SNCO ACADEMY CAMP LEJEUNE]
22,94293,[D93 / 7506 / SITE SPT CLR 4 4TH MLG FT LEWIS WA]
23,96192,[1CC / 8006 / 3D MEB].1
24,99290,[1FY / 8006 / HQ MARFORSOUTH DORAL FL].1
25,99970,[J56 / 8006 / NAVAL WAR COLLEGE NEWPORT RI]
26,106694,[007 / 7506 / HQ MCCDC QUANTICO VA]
27,110732,[1PA / 7202 / HQ MACG-28 2D MAW CHERRY POINT NC]
28,119312,[QLA / 8006 / OFFICE OF LEGISLATIVE AFFAIRS ]
29,119865,[NBM / 8006 / HQ USSOCOM (JT-BIL) MACDILL AFB FL]
30,128675,[N28 / 8006 / COMBINED FORCES (KOREA / CAMP HUMPHREYS)]
31,132912,[007 / 8006 / HQ MCCDC].1
32,133910,[143 / 7506 / 3DMAW MIRAMAR CA].1
33,135283,[023 / 7506 / MCAS MIRAMAR SAN DIEGO CA]
34,137125,[1FY / 8006 / HQ MARFORSOUTH DORAL FL]
35,137177,[022 / 7596 / MCAS CHERRY POINT NC]
36,139540,[T15 / 8006 / J6 DIRECTOR FOR C4 (ARLINGTON)]
37,139602,[KA4 / 8006 / TRAIN THE TRAINER SCHOOL CAMP LEJEUNE]
38,149250,[111 / 6002 / HQ MARFORCOM NORFOLK  VA]
39,152201,[1EE / 8006 / COMMARFOREUR STUGGART GERMANY]
40,152623,[1GF / 7506 / THE MARINE CORPS WARFIGHTING LAB QUANTICO VA]
41,158333,[1CC / 8006 / 3D MEB]
42,163019,[145 / 7506 / 1STMAW OKINAWA JAPAN]
43,163049,[097 / 8006 / MCI EAST CAMP LEJEUNE]
44,172287,[NFN / 8006 / HQ US STRATCOM (JT-BIL) OFFUTT AFB NE]
45,177318,[QAQ / 8006 / PP&amp;O].1
46,179810,[068 / 8006 / EDUCATION COMMAND].2
47,190258,[048 / 6002 / FLEET READINESS CENTER EAST CHERRY PT NC]
48,194082,[QAB / 8006 / HQMC WASHINGTON DC].1
49,202826,[014 / 8006 / MCB CAMP PENDLETON]
50,219851,[NBP / 8006 / HQ USCENTCOM (JT-BIL) MACDILL AFB FL]
51,228796,[1C0 / 7506 / HQ I MEF CAMP PENDLETON CA]
52,245337,[LAW / 7506 / MC REP US NAVAL WAR COLL EDU COM NEWPORT RI]
53,247836,[T52 / 6002 / OFC OF THE CNO OP 00 WASHINGTON DC]
54,248984,[068 / 8006 / EDUCATION COMMAND].1
55,249176,[TZ3 / 7506 / NAVY WARFARE DEVELOPMENT COMMAND NORFOLK VA]
